√À— ‡¢µ,™◊ËÕ‡¢µ,Õ.1 ™“¬,Õ.1 À≠‘ß,√«¡Õ.1,Õ.1 ÀÈÕß,Õ.2 ™“¬,Õ.2 À≠‘ß,√«¡Õ.2,Õ.2 ÀÈÕß,Õ.3 ™“¬,Õ.3 À≠‘ß,√«¡Õ.3,Õ.3 ÀÈÕß,√«¡°ËÕπª√–∂¡ ™“¬,√«¡°ËÕπª√–∂¡ À≠‘ß,√«¡°ËÕπª√–∂¡,√«¡ÀÈÕß°ËÕπª√–∂¡,ª.1 ™“¬,ª.1 À≠‘ß,√«¡ª.1,ª.1 ÀÈÕß,ª.2 ™“¬,ª.2 À≠‘ß,√«¡ª.2,ª.2 ÀÈÕß,ª.3 ™“¬,ª.3 À≠‘ß,√«¡ª.3,ª.3 ÀÈÕß,ª.4 ™“¬,ª.4 À≠‘ß,√«¡ª.4,ª.4 ÀÈÕß,ª.5 ™“¬,ª.5 À≠‘ß,√«¡ª.5,ª.5 ÀÈÕß,ª.6 ™“¬,ª.6 À≠‘ß,√«¡ª.6,ª.6 ÀÈÕß,√«¡ª√–∂¡ ™“¬,√«¡ª√–∂¡ À≠‘ß,√«¡ª√–∂¡,√«¡ÀÈÕßª√–∂¡,¡.1 ™“¬,¡.1 À≠‘ß,√«¡¡.1,¡.1 ÀÈÕß,¡.2 ™“¬,¡.2 À≠‘ß,√«¡¡.2,¡.2 ÀÈÕß,¡.3 ™“¬,¡.3 À≠‘ß,√«¡¡.3,¡.3 ÀÈÕß,√«¡¡.µÈπ ™“¬,√«¡¡.µÈπ À≠‘ß,√«¡¡.µÈπ,√«¡ÀÈÕß¡.µÈπ,¡.4 ™“¬,¡.4 À≠‘ß,√«¡¡.4,¡.4 ÀÈÕß,¡.5 ™“¬,¡.5 À≠‘ß,√«¡¡.5,¡.5 ÀÈÕß,¡.6 ™“¬,¡.6 À≠‘ß,√«¡¡.6,¡.6 ÀÈÕß,ª«™.1 ™“¬,ª«™.1 À≠‘ß,√«¡ª«™.1,ª«™.1 ÀÈÕß,ª«™.2 ™“¬,ª«™.2 À≠‘ß,√«¡ª«™.2,ª«™.2 ÀÈÕß,ª«™.3 ™“¬,ª«™.3 À≠‘ß,√«¡ª«™.3,ª«™.3 ÀÈÕß,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“ ™“¬,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“ À≠‘ß,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“,√«¡ÀÈÕß¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“,√«¡∑—ÈßÀ¡¥ ™“¬,√«¡∑—ÈßÀ¡¥ À≠‘ß,√«¡∑—ÈßÀ¡¥,√«¡ÀÈÕß∑—ÈßÀ¡¥
00100001, æ¡.°√ÿß‡∑æ¡À“π§√ ‡¢µ 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8392,8069,16461,507,8890,8458,17348,506,8743,8527,17270,509,26025,25054,51079,1522,8475,8972,17447,550,8240,8761,17001,555,8125,8687,16812,542,0,0,0,0,0,0,0,0,0,0,0,0,24840,26420,51260,1647,50865,51474,102339,3169
00100002, æ¡.°√ÿß‡∑æ¡À“π§√ ‡¢µ 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10028,10471,20499,583,10272,10765,21037,583,9672,10698,20370,576,29972,31934,61906,1742,8841,10783,19624,566,8455,10246,18701,559,8294,10099,18393,556,0,0,0,0,0,0,0,0,0,0,0,0,25590,31128,56718,1681,55562,63062,118624,3423
00100700, ”π—°∫√‘À“√ß“π°“√»÷°…“æ‘‡»…,19735,10637,30372,7781,138,78,216,135,167,103,270,151,20040,10818,30858,8067,815,462,1277,440,1043,666,1709,436,1294,831,2125,449,1522,1045,2567,451,1694,1150,2844,445,1984,1370,3354,539,8352,5524,13876,2760,3563,3078,6641,775,3696,3256,6952,771,3589,3222,6811,777,10848,9556,20404,2323,2214,2357,4571,693,2038,2195,4233,671,1785,2077,3862,476,45,18,63,33,24,18,42,33,23,19,42,33,6129,6684,12813,1939,45369,32582,77951,15089
00110001, æ¡. ¡ÿ∑√ª√“°“√,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4715,4816,9531,260,4738,4863,9601,263,4655,4801,9456,257,14108,14480,28588,780,3599,4373,7972,225,3514,4354,7868,230,3547,4219,7766,224,0,0,0,0,0,0,0,0,0,0,0,0,10660,12946,23606,679,24768,27426,52194,1459
00120001, æ¡.ππ∑∫ÿ√’,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528,3742,7270,208,3662,3989,7651,208,3650,3892,7542,209,10840,11623,22463,625,2932,3746,6678,188,2826,3494,6320,187,2700,3428,6128,188,0,0,0,0,0,0,0,0,0,0,0,0,8458,10668,19126,563,19298,22291,41589,1188
00130001, æ¡.ª∑ÿ¡∏“π’,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,29,67,3,37,50,87,3,58,55,113,3,58,59,117,3,41,38,79,2,37,42,79,3,269,273,542,17,3628,3873,7501,204,3707,3976,7683,208,3576,3924,7500,206,10911,11773,22684,618,3362,4000,7362,212,3161,3878,7039,213,3147,3992,7139,212,0,0,0,0,0,0,0,0,0,0,0,0,9670,11870,21540,637,20850,23916,44766,1272
00140001, æ¡.æ√–π§√»√’Õ¬ÿ∏¬“,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269,2425,4694,133,2293,2559,4852,137,2162,2496,4658,134,6724,7480,14204,404,1994,2472,4466,130,1740,2344,4084,130,1643,2330,3973,128,0,0,0,0,9,3,12,1,0,0,0,0,5386,7149,12535,389,12110,14629,26739,793
00160001, æ¡.≈æ∫ÿ√’,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,1616,3186,101,1657,1744,3401,105,1713,1701,3414,106,4940,5061,10001,312,1747,2246,3993,126,1602,2189,3791,124,1504,2154,3658,124,0,0,0,0,0,0,0,0,0,0,0,0,4853,6589,11442,374,9793,11650,21443,686
00170001, æ¡. ‘ßÀÏ∫ÿ√’ ÕË“ß∑Õß,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,1521,3071,102,1575,1734,3309,105,1653,1760,3413,105,4778,5015,9793,312,1225,1570,2795,93,1157,1600,2757,93,1124,1473,2597,90,0,0,0,0,0,0,0,0,0,0,0,0,3506,4643,8149,276,8284,9658,17942,588
00190001, æ¡. √–∫ÿ√’,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399,2368,4767,143,2488,2539,5027,143,2466,2596,5062,141,7353,7503,14856,427,1817,2300,4117,117,1630,2179,3809,114,1512,2046,3558,113,0,0,0,0,0,0,0,0,0,0,0,0,4959,6525,11484,344,12312,14028,26340,771
